Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2023/01/01,0000 UTC,0,"1010,2","1010,2","1009,7",,"27,1","21,7","27,3","27,1","21,8","21,4",72.0,71.0,72.0,104.0,"4,8","2,2",
2023/01/01,0100 UTC,0,1010,"1010,2",1010,,"27,2","22,2","27,3","27,1","22,2","21,7",74.0,72.0,74.0,99.0,"5,9","1,9",
2023/01/01,0200 UTC,0,"1009,4",1010,"1009,4",,"26,9","22,2","27,2","26,9","22,3","22,1",75.0,74.0,75.0,104.0,"5,5",2,
2023/01/01,0300 UTC,0,"1008,8","1009,4","1008,8",,"26,9","21,9",27,"26,7","22,3","21,9",76.0,74.0,74.0,104.0,"5,8","2,4",
2023/01/01,0400 UTC,0,1008,"1008,8",1008,,"26,8","21,7",27,"26,8","21,8","21,6",74.0,73.0,74.0,104.0,"6,1","2,8",
2023/01/01,0500 UTC,0,"1007,4",1008,"1007,4",,"26,7","21,4","26,8","26,6","21,8","21,4",74.0,73.0,73.0,107.0,"5,9","2,6",
2023/01/01,0600 UTC,0,"1007,3","1007,4","1007,2",,"26,8","21,8","26,8","26,7","21,8","21,4",75.0,73.0,74.0,109.0,"6,9","2,8",
2023/01/01,0700 UTC,0,"1007,3","1007,3","1007,1",,"26,7","21,8","26,8","26,7","21,9","21,7",75.0,74.0,74.0,109.0,"6,9","2,5",
2023/01/01,0800 UTC,0,"1007,8","1007,8","1007,2",,"26,6","21,6","26,8","26,4","21,9","21,6",76.0,74.0,74.0,106.0,"7,5","1,6",
2023/01/01,0900 UTC,0,"1008,4","1008,4","1007,8","36,8","26,9","21,5","26,9","26,6","21,8","21,5",74.0,72.0,72.0,97.0,"6,3","2,7",
2023/01/01,1000 UTC,0,"1009,1","1009,1","1008,4","463,4","28,4","21,8","28,4","26,9","21,9","21,5",72.0,67.0,67.0,103.0,"8,1","3,2",
2023/01/01,1100 UTC,0,"1009,6","1009,6","1009,1","1182,4","29,5","21,3","29,6",28,"21,9","21,1",68.0,61.0,61.0,104.0,"8,5","4,6",
2023/01/01,1200 UTC,"1,2","1009,9","1010,1","1009,6","1138,3","27,8","22,4","29,6","25,9","24,2","20,6",83.0,60.0,72.0,105.0,"10,6","3,8",
2023/01/01,1300 UTC,0,"1009,7","1009,9","1009,6","1977,1","29,1","21,8","30,3","27,8","23,6","21,1",74.0,60.0,65.0,106.0,"9,7","3,8",
2023/01/01,1400 UTC,0,"1009,1","1009,7","1009,1","2422,4","30,6",21,"31,4","28,9","22,6","20,7",67.0,55.0,57.0,102.0,"9,6","4,4",
2023/01/01,1500 UTC,0,"1008,7","1009,2","1008,6","2761,7","31,4","21,2","32,2","30,5","22,2","20,6",59.0,52.0,55.0,111.0,"9,6","3,8",
2023/01/01,1600 UTC,0,"1007,9","1008,7","1007,9","2264,3","30,9","21,7","32,4","30,1","22,2","20,5",59.0,54.0,58.0,108.0,"10,3","3,9",
2023/01/01,1700 UTC,0,"1007,2","1007,9","1007,2","2404,3","31,7","20,9","32,1","30,4",22,"20,1",58.0,52.0,53.0,100.0,"10,6","4,3",
2023/01/01,1800 UTC,0,"1006,8","1007,2","1006,8","1873,4","29,9","21,3",32,"29,8","22,3","20,5",61.0,53.0,60.0,92.0,"8,7","4,4",
2023/01/01,1900 UTC,0,"1006,6","1006,8","1006,6","1192,8","29,2","21,2","30,6","29,1",22,21,63.0,59.0,62.0,91.0,"8,9","3,8",
2023/01/01,2000 UTC,0,1007,1007,"1006,6","556,2","28,4","21,9","29,5","28,3","22,1","21,3",68.0,62.0,68.0,93.0,"7,9","2,7",
2023/01/01,2100 UTC,0,"1007,8","1007,8",1007,"80,5","27,5","22,2","28,5","27,5","22,2","21,9",73.0,68.0,73.0,90.0,"7,7","1,9",
2023/01/01,2200 UTC,0,"1008,7","1008,7","1007,8",,"27,1","22,3","27,5","27,1","22,3","22,2",75.0,73.0,75.0,97.0,"6,1","1,7",
2023/01/01,2300 UTC,0,"1009,4","1009,4","1008,7",,"27,1","22,2","27,2",27,"22,4","22,2",75.0,74.0,75.0,96.0,"5,1","1,7",
2023/01/02,0000 UTC,,,,,,,,,,,,,,,,,,
2023/01/02,0100 UTC,0,"1009,8",1010,"1009,8",,"26,9","22,2","27,1","26,9","22,4","22,1",76.0,75.0,76.0,98.0,5,"1,6",
2023/01/02,0200 UTC,0,"1009,8","1009,9","1009,8",,27,"22,5",27,"26,7","22,5","22,2",77.0,76.0,76.0,97.0,"4,9","2,1",
2023/01/02,0300 UTC,0,"1009,1","1009,8","1009,1",,"26,8","22,5",27,"26,8","22,6","22,3",77.0,76.0,77.0,89.0,"5,2","2,2",
2023/01/02,0400 UTC,",2","1008,5","1009,1","1008,5",,26,"22,5","26,8",26,"22,7","22,3",81.0,77.0,81.0,105.0,"5,2","2,2",
2023/01/02,0500 UTC,0,1008,"1008,5",1008,,"25,5","22,5",26,"25,5","22,6","22,4",84.0,81.0,83.0,104.0,"4,8","1,2",
2023/01/02,0600 UTC,",2","1007,7",1008,"1007,7",,"25,6","22,7","25,6","25,4","22,7","22,4",84.0,83.0,84.0,116.0,"2,7",",8",
2023/01/02,0700 UTC,0,"1007,7","1007,7","1007,6",,"25,2","22,6","25,7","25,2","22,8","22,6",86.0,84.0,86.0,128.0,"2,1",",6",
2023/01/02,0800 UTC,0,"1008,1","1008,1","1007,7",,"24,7","22,4","25,2","24,7","22,7","22,3",87.0,86.0,87.0,179.0,"2,1",0,
2023/01/02,0900 UTC,0,"1008,9","1008,9","1008,1","27,9","24,6","22,6","24,8","24,4","22,6","22,3",89.0,87.0,89.0,174.0,"1,4",",5",
2023/01/02,1000 UTC,0,"1009,4","1009,4","1008,9","274,7","26,1","23,8","26,1","24,6","23,8","22,6",89.0,87.0,87.0,173.0,"2,1",",3",
2023/01/02,1100 UTC,",2",1010,1010,"1009,4","670,8","27,4","23,5",28,26,"24,6","23,4",87.0,79.0,79.0,138.0,"3,1",",9",
2023/01/02,1200 UTC,0,"1010,1","1010,2",1010,"1102,3","28,8",23,"29,4","27,4","23,9","22,4",80.0,68.0,71.0,96.0,"6,3","3,1",
2023/01/02,1300 UTC,0,1010,"1010,1","1009,9","1854,5","30,2","22,3","30,4","28,4",24,"21,5",74.0,60.0,63.0,96.0,"10,2","4,5",
