Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2023/01/01,0000 UTC,0,"887,7","887,7","887,2",,"20,1","17,9","20,9",20,"19,2","17,8",91.0,87.0,87.0,187.0,"3,3","1,2",
2023/01/01,0100 UTC,0,"888,1","888,1","887,7",,"19,2","17,5","20,1","19,2","17,8","17,4",90.0,87.0,90.0,153.0,"2,9",",8",
2023/01/01,0200 UTC,0,"887,8","888,1","887,8",,"19,3","17,6","19,5",19,"17,8","17,3",90.0,89.0,90.0,145.0,"2,5","1,5",
2023/01/01,0300 UTC,0,"887,8","887,9","887,7",,"19,3","17,7","19,4","19,1","17,8","17,5",91.0,90.0,91.0,162.0,"3,2","1,4",
2023/01/01,0400 UTC,0,"887,6","887,9","887,6",,"19,7","18,1","19,7","19,1","18,1","17,4",91.0,90.0,90.0,140.0,"5,7","2,7",
2023/01/01,0500 UTC,0,"886,7","887,6","886,7",,"19,1","17,7","19,7","19,1","18,1","17,7",92.0,90.0,92.0,128.0,"7,1",2,
2023/01/01,0600 UTC,0,"886,3","886,8","886,3",,"18,5","17,1","19,1","18,4","17,7","17,1",92.0,92.0,92.0,196.0,4,",4",
2023/01/01,0700 UTC,0,"886,4","886,5","886,3",,"18,5","17,3","18,6","18,4","17,4","17,1",93.0,92.0,93.0,98.0,"2,5",",8",
2023/01/01,0800 UTC,0,"886,5","886,6","886,4",,"18,2","16,9","18,7","18,2","17,3","16,8",93.0,91.0,92.0,51.0,"3,4",",8",
2023/01/01,0900 UTC,0,"887,1","887,1","886,5","2,5","18,1","16,9","18,3",18,17,"16,8",93.0,92.0,93.0,121.0,"3,5","1,6",
