Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2023/01/01,0000 UTC,0,"933,2","933,2","932,5",,"21,1","19,2","21,3","21,1","19,6","19,1",90.0,88.0,89.0,115.0,"4,4","1,1",
2023/01/01,0100 UTC,0,933,"933,3",933,,"21,1","19,3","21,2","21,1","19,5","19,2",90.0,89.0,90.0,114.0,"2,4",",5",
2023/01/01,0200 UTC,0,933,933,"932,8",,"20,7","19,3","21,1","20,7","19,4","19,1",92.0,90.0,92.0,33.0,"1,6",0,
2023/01/01,0300 UTC,0,"932,7","933,2","932,7",,"20,7","19,4","20,8","20,5","19,4","19,1",92.0,92.0,92.0,148.0,"2,1",",7",
2023/01/01,0400 UTC,0,"932,2","932,7","932,2",,"20,5","19,1","20,7","20,5","19,3","19,1",92.0,92.0,92.0,146.0,"2,2",",8",
2023/01/01,0500 UTC,0,"931,4","932,2","931,4",,"19,9","18,6","20,5","19,8","19,1","18,5",92.0,92.0,92.0,213.0,"2,8",",9",
2023/01/01,0600 UTC,0,"931,3","931,4","931,2",,20,"18,7","20,2","19,9","18,9","18,6",93.0,92.0,93.0,194.0,"2,3",",1",
2023/01/01,0700 UTC,",2","931,5","931,5","931,2",,"19,6","18,4",20,"19,6","18,8","18,4",93.0,92.0,93.0,357.0,"1,1",0,
2023/01/01,0800 UTC,0,"931,4","931,5","931,3",,"19,5","18,3","19,7","19,3","18,5","18,1",93.0,93.0,93.0,90.0,"1,1",",3",
2023/01/01,0900 UTC,0,"932,1","932,1","931,4","23,1","19,5","18,3","19,5","18,9","18,3","17,7",93.0,93.0,93.0,124.0,"2,1","1,2",
2023/01/01,1000 UTC,0,"932,6","932,6","932,1",262,"20,6","19,2","20,6","19,5","19,2","18,3",93.0,92.0,92.0,151.0,"2,2",",4",
2023/01/01,1100 UTC,0,"933,1","933,2","932,6","350,2","21,8","19,7","21,8","20,6","19,8","19,2",92.0,88.0,88.0,126.0,"1,7",",7",
2023/01/01,1200 UTC,0,"933,4","933,5","933,1","535,7","22,9","19,7","22,9","21,7","19,7","19,3",88.0,82.0,82.0,129.0,"2,5",",6",
2023/01/01,1300 UTC,0,"933,6","933,7","933,4",1124,"25,1","20,2","25,2","22,9","20,8","19,3",82.0,74.0,74.0,124.0,2,",6",
2023/01/01,1400 UTC,0,"933,3","933,6","933,3","1639,9","26,9",20,27,"24,9","21,7","19,2",77.0,65.0,66.0,69.0,"2,8",",6",
2023/01/01,1500 UTC,0,"932,4","933,3","932,4","2069,4","28,9","19,8","28,9","26,7","20,6","18,8",68.0,57.0,58.0,358.0,"5,2","1,4",
2023/01/01,1600 UTC,0,"931,6","932,4","931,6","2902,2","29,6","19,5","29,8","28,1","20,4","18,4",61.0,53.0,54.0,32.0,6,"1,6",
2023/01/01,1700 UTC,0,"930,5","931,6","930,5","2843,2","30,9","17,9","30,9","28,9","20,2","17,2",57.0,45.0,46.0,67.0,"4,9","1,6",
2023/01/01,1800 UTC,0,"929,6","930,5","929,6","2707,3","31,3","17,1",32,"30,3","18,9",16,48.0,40.0,43.0,90.0,"3,9","1,5",
2023/01/01,1900 UTC,0,929,"929,6",929,"734,8","28,8","17,6","31,5","28,6","19,2","16,2",54.0,41.0,51.0,30.0,"3,8",",4",
2023/01/01,2000 UTC,0,"928,5",929,"928,4","1199,5","30,5","16,8","32,2","28,6","18,5","15,3",53.0,39.0,44.0,351.0,"2,8",",8",
2023/01/01,2100 UTC,0,"928,8","928,8","928,5","443,1","28,4",16,"30,5","28,4","17,8",16,50.0,42.0,47.0,341.0,"2,5",",8",
