Palavra-chave;Valor;Classe
renewable energy;170;Energia renovável e sistemas energéticos
renewable energy sources;82;Energia renovável e sistemas energéticos
renewable energy resources;81;Energia renovável e sistemas energéticos
energy management;70;Energia renovável e sistemas energéticos
microgrid;63;Energia renovável e sistemas energéticos
smart grid;63;Energia renovável e sistemas energéticos
renewable energies;62;Energia renovável e sistemas energéticos
renewable energy source;58;Energia renovável e sistemas energéticos
energy;57;Energia renovável e sistemas energéticos
wind power;50;Energia renovável e sistemas energéticos
energy efficiency;50;Energia renovável e sistemas energéticos
solar energy;48;Energia renovável e sistemas energéticos
energy storage;43;Energia renovável e sistemas energéticos
system;42;Energia renovável e sistemas energéticos
microgrids;41;Energia renovável e sistemas energéticos
power;40;Energia renovável e sistemas energéticos
management;37;Energia renovável e sistemas energéticos
smart power grids;35;Energia renovável e sistemas energéticos
generation;35;Energia renovável e sistemas energéticos
energy management systems;30;Energia renovável e sistemas energéticos
electric vehicles;30;Energia renovável e sistemas energéticos
wind;28;Energia renovável e sistemas energéticos
operation;28;Energia renovável e sistemas energéticos
solar power generation;28;Energia renovável e sistemas energéticos
model;60;Modelagem, simulação e outros
optimisations;59;Modelagem, simulação e outros
design;45;Modelagem, simulação e outros
performance;45;Modelagem, simulação e outros
demand response;42;Modelagem, simulação e outros
forecasting;41;Modelagem, simulação e outros
decision making;38;Modelagem, simulação e outros
costs;37;Modelagem, simulação e outros
prediction;36;Modelagem, simulação e outros
uncertainty;33;Modelagem, simulação e outros
simulation;31;Modelagem, simulação e outros
optimization;322;Otimização e IA
artificial intelligence;310;Otimização e IA
machine learning;93;Otimização e IA
algorithm;73;Otimização e IA
deep learning;51;Otimização e IA
reinforcement learning;48;Otimização e IA
particle swarm optimization;44;Otimização e IA
particle swarm optimization;41;Otimização e IA
multiobjective optimization;39;Otimização e IA
genetic algorithms;35;Otimização e IA
ant colony optimization;34;Otimização e IA
genetic algorithm;33;Otimização e IA
neural-network;29;Otimização e IA
artificial neural network;29;Otimização e IA
neural networks;27;Otimização e IA
