T,AU,TI,PY,T2,VL,SP,EP,DO,UR,AD,AB,KW,PB,SN,LA,J2,M3,DB,N1,TY,C7,IS,ST,C2
- JOUR,"aldhahri, E.A.; Almazroi, A.A.; Ayub, N.",Nature-inspired approaches for clean energy integration in smart grids,2024,Alexandria Engineering Journal,105,640,654,10.1016/j.aej.2024.08.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201275319&doi=10.1016%2fj.aej.2024.08.003&partnerID=40&md5=5e5efaaaade5a0905846e351ae2da08b,"Computer science and artificial intelligent Department, Collage of Computer Science and Engineering, University of Jeddah, Jeddah, 21959, Saudi Arabia; College of Computing and Information Technology at Khulais, Department of Information Technology, University of Jeddah, Jeddah, 21959, Saudi Arabia; Department of Creative Technologies, Air University Islamabad, Islamabad, 44000, Pakistan","Optimizing domestic energy use and increasing the efficiency of residential power supply chains depend much on home energy management (HEM) systems. This paper examines the utilization of advanced meta-heuristics, namely the Siberian Tiger Optimization (STO) and Sand Cat Swarm Optimization (SCSO) algorithms, for developing HEM systems. The paper presents an integrated STSC algorithm, enhanced by artificial intelligence, that monitors and optimizes household energy usage. To optimize electricity distribution, this algorithm seeks a compromise between reducing costs and lowering the peak-to-average proportion of power. After extensive simulations, the STSC algorithm outperforms previous meta-heuristics in Peak Average Ratio. It demonstrates the possibility of substantial cost reductions in residential settings, reaching up to 8.5%. This improves the overall efficiency of households’ power supply chains. In addition to reducing costs, the STSC algorithm contributes to sustainability objectives by utilizing AI to minimize carbon emissions, including renewable energy sources, and facilitate adaptable demand solutions. This highlights its role in promoting sustainable supply chain practices in energy efficiency. The combined use of STO and SCSO algorithms in the STSC method is a new and innovative development in HEM systems. This study highlights the capacity of AI-driven technologies to effectively and environmentally optimize household energy consumption. © 2024 Faculty of Engineering, Alexandria University",AI-powered energy optimization; Home energy management systems; Meta-heuristic algorithms; Peak average ratio; Sand cat swarm optimization; Siberian tiger optimization; Sustainable energy efficiency; AI-powered energy optimization; Energy optimization; Home energy management systems; Meta-heuristics algorithms; Optimisations; Peak average ratio; Sand cat swarm optimization; Siberian tiger optimization; Siberian tigers; Sustainable energy; Sustainable energy efficiency; Swarm optimization; Energy supply,Elsevier B.V.,11100168 (ISSN),English,Alexandria Engineering Journal,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: E.A. aldhahri; Computer science and artificial intelligent Department, Collage of Computer Science and Engineering, University of Jeddah, Jeddah, 21959, Saudi Arabia; email: eaal-dhahery@uj.edu.sa",,,,,
,"Kim, S.; Heo, S.; Nam, K.; Woo, T.; Yoo, C.",Flexible renewable energy planning based on multi-step forecasting of interregional electricity supply and demand: Graph-enhanced AI approach,2023,Energy,282,,,10.1016/j.energy.2023.128858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168717534&doi=10.1016%2fj.energy.2023.128858&partnerID=40&md5=dd40ae9c7dfafbf5e6ac3430916344ea,"Integrated Engineering, Department of Environmental Science and Engineering, College of Engineering, Kyung Hee University, 1732 Deogyeong-daero, Giheung-gu, Gyeonggi-do, Yongin-si, 17104, South Korea","Jeju Island faces curtailment problems when renewable energy generation exceeds the facility capacity. In addition, the renewable energy system cannot achieve consistent operation because of the uncertainty of renewable energy sources (RES) and their complex spatiotemporal patterns. Climate change and extreme meteorological phenomena also affect the energy system of the island. Therefore, it is essential to maximize RES exploitation to accomplish carbon-free energy production. This study developed a rolling horizon optimization–based flexible renewable energy distribution planning (FxRE-Plan) based on an artificial intelligence-driven spatiotemporal RES prediction model. An adaptive graph convolutional recurrent network (AGCRN) was used to develop a spatiotemporal prediction model. Then, FxRE-Plan was determined using a multiobjective genetic algorithm to maximize the RES potential under climate change scenarios. The FxRE-Plan was evaluated and compared with the current operation of the electric grid in Jeju Island through economic, environmental cost, and climate change vulnerability assessment index. The results of this research show that the AGCRN–based spatiotemporal prediction model exhibited superior prediction performance, achieving a 95% R2. In addition, the FxRE-Plan reduced greenhouse gas emissions by approximately 11.5% at maximum and climate change vulnerability. Hence, the proposed FxRE-Plan can be used to solve curtailments in real electric grids by pursuing carbon-free islands. © 2023 Elsevier Ltd",Carbon-free; Climate change vulnerability assessment; Flexible energy planning; Renewable energy sources; Spatiotemporal prediction; Carbon; Climate change; Economics; Forecasting; Gas emissions; Genetic algorithms; Greenhouse gases; Natural resources; Carbon-free; Climate change vulnerability assessment; Distribution planning; Energy distributions; Energy planning; Flexible energy planning; Renewable energies; Renewable energy source; Spatio-temporal prediction; Vulnerability assessments; alternative energy; climate change; electricity; electricity supply; energy planning; genetic algorithm; greenhouse gas; vulnerability; Renewable energy resources,Elsevier Ltd,03605442 (ISSN),English,Energy,Article,Scopus,"Export Date: 27 September 2024; Cited By: 6; Correspondence Address: C. Yoo; Integrated Engineering, Department of Environmental Science and Engineering, College of Engineering, Kyung Hee University, Yongin-si, 1732 Deogyeong-daero, Giheung-gu, Gyeonggi-do, 17104, South Korea; email: ckyoo@khu.ac.kr; CODEN: ENEYD",JOUR,128858,,,
,"Velásquez, J.D.; Cadavid, L.; Franco, C.J.",Intelligence Techniques in Sustainable Energy: Analysis of a Decade of Advances,2023,Energies,16,,,10.3390/en16196974,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173793987&doi=10.3390%2fen16196974&partnerID=40&md5=64aa7d92d0a04286180f318e13aab27c,"Departamento de Ciencias de la Computación y la Decisión, Facultad de Minas, Universidad Nacional de Colombia, Medellín, 1027, Colombia","In the last decade, many artificial intelligence (AI) techniques have been used to solve various problems in sustainable energy (SE). Consequently, an increasing volume of research has been devoted to this topic, making it difficult for researchers to keep abreast of its developments. This paper analyzes 18,715 articles—about AI techniques used for SE—indexed in Scopus and published from 2013 to 2022, which were retrieved and selected following a novel iterative methodology. Besides calculating basic bibliometric indicators, we used clustering techniques and a co-occurrence analysis of author keywords to discover and characterize dominant themes in the literature. As a result, we found eight dominant themes in SE (solar energy, smart grids and microgrids, fuel cells, hydrogen, electric vehicles, biofuels, wind energy, and energy planning) and nine dominant techniques in AI (genetic algorithms, support vector machines, particle swarm optimization, differential evolution, classical neural networks, fuzzy logic controllers, reinforcement learning, deep learning, and multi-objective optimization). Each dominant theme is discussed in detail, highlighting the most relevant work and contributions. Finally, we identified the AI techniques most widely used in each SE area to solve its specific problems. © 2023 by the authors.",artificial intelligence; bibliometric analysis; machine learning; renewable energy; sustainability; tech mining; Deep learning; Energy conservation; Fuel cells; Fuzzy logic; Fuzzy neural networks; Genetic algorithms; Iterative methods; Multiobjective optimization; Reinforcement learning; Smart power grids; Solar energy; Solar power generation; Support vector machines; Wind power; Artificial intelligence techniques; Bibliometric indicators; Bibliometrics analysis; Energy analysis; Iterative methodology; Machine-learning; Paper analysis; Renewable energies; Sustainable energy; Tech minings; Particle swarm optimization (PSO),Multidisciplinary Digital Publishing Institute (MDPI),19961073 (ISSN),English,Energies,Article,Scopus,"Export Date: 27 September 2024; Cited By: 3; Correspondence Address: C.J. Franco; Departamento de Ciencias de la Computación y la Decisión, Facultad de Minas, Universidad Nacional de Colombia, Medellín, 1027, Colombia; email: cjfranco@unal.edu.co",JOUR,6974,19,,
,"Khan, M.; Raza, M.A.; Faheem, M.; Sarang, S.A.; Panhwar, M.; Jumani, T.A.",Conventional and artificial intelligence based maximum power point tracking techniques for efficient solar power generation,2024,Engineering Reports,,,,10.1002/eng2.12963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198622562&doi=10.1002%2feng2.12963&partnerID=40&md5=1be9577a0def036e717055cc58cbceb4,"Department of Electrical Engineering, Mehran University of Engineering and Technology, Sindh, Pakistan; School of Technology and Innovations, University of Vaasa, Vaasa, Finland","The increasing global need for renewable energy sources, driven by environmental concerns and the limited availability of traditional energy, highlights the significance of solar energy. However, weather fluctuations challenge the efficiency of solar systems, making maximum power point tracking (MPPT) systems crucial for optimal energy harvesting. This study compares ten MPPT approaches, including both conventional and artificial intelligence (AI)-based techniques. These controllers were designed and implemented using MATLAB Simulink, and their performance was evaluated under real environmental conditions with fluctuating irradiance and temperature. The results demonstrate that conventional techniques, such as incremental conductance (INC), Perturb and Observe (P&O), Incremental conductance and Particle Swam Optimization (INC-PSO), Fuzzy Logic Control and Particle Swam Optimization (FLC-PSO), and Perturb and Observe and Particle Swam Optimization (P&O-PSO), achieved accuracies of 94%, 97.6%, 98.9%, 98.7%, and 99.3% respectively. In contrast, AI-based intelligent techniques, including Artificial Neural Network (ANN), Artificial Neural Fuzzy Interference System (ANFIS), Fuzzy Logic Control (FLC), Particle Swam Optimization (PSO), and Artificial Neural Network and Particle Swam Optimization (ANN-PSO), outperform achieving higher accuracies of 97.8%, 99.9%, 98.9%, 99.2%, and 99%, respectively. Compared to available research, which often reports lower accuracies for conventional techniques, our study highlights the enhanced performance of AI-based methods. This study provides a comprehensive comparative analysis, delivering critical analysis and practical guidance for engineers and researchers in selecting the most effective MPPT controller optimized to specific environmental conditions. By improving the efficiency and reliability of solar power systems, our research supports the advancement of sustainable energy solutions. © 2024 The Author(s). Engineering Reports published by John Wiley & Sons Ltd.",artificial intelligence; machine learning; MPPT techniques; smart grid; solar power generation; Computer circuits; Controllers; Energy harvesting; Fuzzy inference; Fuzzy neural networks; Machine learning; Maximum power point trackers; Smart power grids; Solar energy; Solar energy conversion; Tracking (position); Conventional techniques; Fuzzy logic control; Machine-learning; Maximum Power Point Tracking; Maximum power point tracking techniques; Particle Swam Optimization; Performance; Perturb and observe; Renewable energy source; Smart grid; Solar power generation,John Wiley and Sons Inc,25778196 (ISSN),English,Eng. Rep.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: M. Faheem; School of Technology and Innovations, University of Vaasa, Vaasa, 65200, Finland; email: muhammad.faheem@uwasa.fi",JOUR,,,,
,"Bouabdallaoui, D.; Haidi, T.; Elmariami, F.; Derri, M.; Mellouli, E.M.",Application of four machine-learning methods to predict short-horizon wind energy,2023,Global Energy Interconnection,6,726,737,10.1016/j.gloei.2023.11.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181012906&doi=10.1016%2fj.gloei.2023.11.006&partnerID=40&md5=666c2f19e084a08e83f71baf4d352573,"Laboratory LAGES, Ecole Hassania des Travaux Publics (EHTP), Casablanca, 20230, Morocco; Laboratory LESE, Ecole Nationale Supérieure d'Electricité et de Mécanique (ENSEM), Casablanca, 20100, Morocco; Laboratory LESA, School of Applied Sciences, Sidi Mohamed Ben Abdellah University, Fez, 30000, Morocco","Renewable energy has garnered attention due to the need for sustainable energy sources. Wind power has emerged as an alternative that has contributed to the transition towards cleaner energy. As the importance of wind energy grows, it can be crucial to provide forecasts that optimize its performance potential. Artificial intelligence (AI) methods have risen in prominence due to how well they can handle complicated systems while enhancing the accuracy of prediction. This study explored the area of AI to predict wind-energy production at a wind farm in Yalova, Turkey, using four different AI approaches: support vector machines (SVMs), decision trees, adaptive neuro-fuzzy inference systems (ANFIS) and artificial neural networks (ANNs). Wind speed and direction were considered as essential input parameters, with wind energy as the target parameter, and models are thoroughly evaluated using metrics such as the mean absolute percentage error (MAPE), coefficient of determination (R2), and mean absolute error (MAE). The findings accentuate the superior performance of the SVM, which delivered the lowest MAPE (2.42%), the highest R2 (0.95), and the lowest MAE (71.21%) compared with actual values, while ANFIS was less effective in this context. The main aim of this comparative analysis was to rank the models to move to the next step in improving the least efficient methods by combining them with optimization algorithms, such as metaheuristic algorithms. © 2023 Global Energy Interconnection Group Co. Ltd.",Adaptive Neuro-Fuzzy Inference Systems; Artificial Neural Networks; Decision Trees; Support Vector Machines; Wind Energy Prediction; Decision trees; Forecasting; Fuzzy inference; Fuzzy neural networks; Fuzzy systems; Learning systems; Optimization; Support vector machines; Wind speed; Adaptive neuro-fuzzy inference; Adaptive neuro-fuzzy inference system; Energy prediction; Machine learning methods; Mean absolute error; Neuro-fuzzy inference systems; Percentage error; Renewable energies; Support vectors machine; Wind energy prediction; Wind power,KeAi Publishing Communications Ltd.,20965117 (ISSN),English,Glob. Energy Interconnect.,Article,Scopus,Export Date: 27 September 2024; Cited By: 3,JOUR,,6,,
,"Saleem, S.; Ahmad, I.; Ahmed, S.H.; Rehman, A.",Artificial intelligence based robust nonlinear controllers optimized by improved gray wolf optimization algorithm for plug-in hybrid electric vehicles in grid to vehicle applications,2024,Journal of Energy Storage,75,,,10.1016/j.est.2023.109332,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177588194&doi=10.1016%2fj.est.2023.109332&partnerID=40&md5=f576313e2e77d9251a1038a89c23228d,"School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Interdisciplinary Engineering and Sciences (SINES), National University of Sciences and Technology (NUST), Islamabad, Pakistan","The paper proposes a control strategy for a plug-in hybrid electric vehicles (PHEVs) system that integrates a photovoltaic (PV) based renewable energy system (RES) and battery and supercapacitor (SC) based energy storage systems (ESS). In the proposed system, a current fed converter is implemented for the photovoltaic and supercapacitor which is a power electronic converter that operates by controlling the current flow in the circuit. The benefit of these converters is that core saturation and shot through cannot lead to device failure or half cycle symmetry. This is a feature of silicon controlled rectifier (SCR) based converters and is a key factor in the increased durability of these converters. A power bi-directional converter is employed for the battery in the EV system. This converter enables the battery to both charge and discharge power as required by the system which facilitates the energy flow between the battery and the rest of the system, allowing efficient energy management and utilization within the plug-in hybrid electric vehicles. Additionally, to efficiently utilize the photovoltaic system, an artificial neural network (ANN) is employed to determine the maximum power points (MPPs). A robust nonlinear higher order super twisting sliding mode controller (STSMC) and integral terminal sliding mode controller (ITSMC) have been designed for PHEVs to reduced chattering phenomena. Tables V to X provides a detailed comparison of error performance metrics and transient response characteristics for the state of charge of a renewable energy system and energy storage systems under the control of the optimized STSMC and ITSMC. The global asymptotic stability of the control approach is verified using Lyapunov stability analysis. Finally, MATLAB/Simulink and a hardware-in-the-loop (HIL) experiments are done to show the behavior of proposed system (Pirouzi et al., 2022). © 2023 Elsevier Ltd",(DC–DC) Current-fed bridge converter; ANN; Battery; Bi-directional power converter; EV's; HIL; I-GWO; PV; SC; Asymptotic stability; Charging (batteries); Controllers; Electric discharges; Electric machine control; Electric power system control; Electric rectifiers; Energy storage; Plug-in hybrid vehicles; Power converters; Renewable energy resources; Secondary batteries; Sliding mode control; Supercapacitor; Transient analysis; (DC–DC) current-feed bridge converter; Battery; Bi-directional power converter; Bridge converter; Current fed; EV; Hardware in the loops; I-GWO; Photovoltaics; Plug-In Hybrid Electric Vehicle; Neural networks,Elsevier Ltd,2352152X (ISSN),English,J. Energy Storage,Article,Scopus,"Export Date: 27 September 2024; Cited By: 11; Correspondence Address: I. Ahmad; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; email: iftikhar.rana@seecs.edu.pk",JOUR,109332,,,
,"Mousavi Rabeti, S.A.; Khoshgoftar Manesh, M.H.; Amidpour, M.","Optimal 4E design and innovative R-curve approach for a gas-solar- biological waste polygeneration system for power, freshwater, and methanol production",2024,Process Safety and Environmental Protection,191,1254,1277,10.1016/j.psep.2024.09.042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204176238&doi=10.1016%2fj.psep.2024.09.042&partnerID=40&md5=8cdb9f079837cc0cbd8019246809c070,"Faculty of Mechanical Engineering, Department of Energy System Engineering, K.N. Toosi University of Technology, Tehran, Iran; Energy, Environmental and Biological Systems Research Lab (EEBRlab), Division of Thermal Sciences and Energy Systems, Department of Mechanical Engineering, Faculty of Technology & Engineering, University of Qom, Qom, Iran","Background: Cogeneration power plants traditionally rely on fossil fuels to produce stable power and heat. However, increasing energy demand and population growth have intensified the emission of biological pollutants due to fossil fuel use. The Global Alliance on Health and Pollution advocates for integrating renewable energy sources to mitigate these issues. Objectives: This study aims to evaluate the integration of a solar-biomass polygeneration system with a hybrid solar-waste-fossil fuel cogeneration system. The goal is to analyze the system from technical, economic, and environmental perspectives, focusing on optimizing energy demand and minimizing environmental impact. Methods: To assess energy demand and supply, the R-curve methodology was applied to the hybrid cogeneration system, with a specific focus on solar and biomass renewable energies. Various scenarios were analyzed, including total annual costs, pollutant emissions, water footprint, and overall environmental impact based on life cycle assessment. The study examined and compared the performance of three types of biomass waste (Municipal solid waste, mixed paper waste, and date palm waste). Multi-objective optimization was performed using artificial intelligence and machine learning techniques, employing four meta-heuristic algorithms. The conditions generated by each algorithm were analyzed and compared. Results: Municipal solid waste, being the most readily available fuel, provided the most favorable economic conditions for the system. Environmentally, municipal solid waste ranked in the middle compared to other fuels. Among the optimization algorithms, the Salps swarm algorithm proved to be the most efficient in terms of calculation time and system efficiency improvements. The optimization improved net power generation by 5.25 %, overall energy efficiency by 16.27 %, total cost rate by 10.19 %, and total environmental impact rate by 14.02 %. Conclusion: The integrated system's performance was analyzed across different climatic change throughout the year. The multi-objective Salps swarm algorithm optimization demonstrated significant benefits in enhancing system efficiency and reducing costs and environmental impacts. © 2024 The Institution of Chemical Engineers",Artificial intelligence.; Carbon and water footprint; Optimization; Polygeneration; R-curve; Solar and biomass integration; Biomass; Efficiency; Energy; Impact; Optimization; Power Plants; Systems; Waste Papers; Electrophysiology; Municipal solid waste; Artificial intelligence.; Carbon and water footprint; Cogeneration systems; Energy demands; Optimisations; Poly-generation; Polygeneration system; R-curves; Solar and biomass integration; Water footprint; Energy utilization,Institution of Chemical Engineers,09575820 (ISSN),English,Process Saf. Environ. Prot.,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: M.H. Khoshgoftar Manesh; Energy, Environmental and Biological Systems Research Lab (EEBRlab), Division of Thermal Sciences and Energy Systems, Department of Mechanical Engineering, Faculty of Technology & Engineering, University of Qom, Qom, Iran; email: m.khoshgoftar@qom.ac.ir",JOUR,,,,
,"Khandakar, A.; Elzein, I.M.; Nahiduzzaman, M.; Ayari, M.A.; Ashraf, A.I.; Korah, L.; Zyoud, A.; Ali, H.; Badawi, A.",Smart aquaponics: An innovative machine learning framework for fish farming optimization,2024,Computers and Electrical Engineering,119,,,10.1016/j.compeleceng.2024.109590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203022512&doi=10.1016%2fj.compeleceng.2024.109590&partnerID=40&md5=54e773c5abd85c8d2884de1a9a1c1a84,"Department of Electrical Engineering, College of Engineering, Qatar University, Doha, Doha, 2713, Qatar; College of Engineering Technology, University of Doha for Science and Technology, Doha, Qatar; Department of Electrical & Computer Engineering, Rajshahi University of Engineering & Technology, Rajshahi, 6204, Bangladesh; Department of Civil and Environmental Engineering, Qatar University, Doha, 2713, Qatar; Department of Electrical and Computer Engineering, Birzeit University Birzeit, Ramallah, Palestine","This study presents an innovative approach to aquaponics by integrating artificial intelligence (AI). The system addresses sustainability challenges by utilizing a novel approach to machine learning to create a fully sustainable system that improves nutrition and fish growth in aquaponics. The study focuses on predicting the length and weight of fish species by analyzing different environmental parameters, including pH, ammonia, and nitrate levels. Data preprocessing integrates nearest-neighbor interpolation and feature standardization to ensure quality and consistency. The light gradient-boosting machine (LightGBM) machine learning model, optimized by five-fold cross-validation, emerges as the superior predictor. Moreover, a novel aspect of the study is the integration of local interpretable model-agnostic explanations (LIME) for enhanced model transparency. The outcome helps to understand the impacts of individual characteristics on the predictions. External validation using different data reaffirms the models' generalizability. Hence, the integration of renewable energy, artificial intelligence, and rigorous analysis shows the potential to improve sustainable agriculture, paving the way for efficient and environmentally conscious indoor farming practices. However, the main framework of this study has the advantage of replicating other fish species using a new set of parameters. © 2024 The Author(s)",Agricultural smart system; Aquaponics; Hydroponics; Internet of things; Machine learning; Agricultural smart system; Aquaponic; Fish farming; Fish species; Innovative approaches; Learning frameworks; Machine-learning; Optimisations; Smart System; Sustainable systems; Adversarial machine learning,Elsevier Ltd,00457906 (ISSN),English,Comput Electr Eng,Article,Scopus,"Export Date: 27 September 2024; Cited By: 0; Correspondence Address: A. Khandakar; Department of Electrical Engineering, College of Engineering, Qatar University, Doha, Doha, 2713, Qatar; email: amitk@qu.edu.qa; CODEN: CPEEB",JOUR,109590,,,
,"Velasquez, W.; Moreira-Moreira, G.Z.; Alvarez-Alvarado, M.S.",Smart Grids Empowered by Software-Defined Network: A Comprehensive Review of Advancements and Challenges,2024,IEEE Access,12,63400,63416,10.1109/ACCESS.2024.3396402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192162421&doi=10.1109%2fACCESS.2024.3396402&partnerID=40&md5=ad03bc4544e4d67241a00468fa351c0b,"Escuela Superior Politécnica del Litoral, ESPOL, Faculty of Electrical and Computer Engineering, Guayaquil, 090902, Ecuador","The integration of Software-Defined Networking (SDN) technology in Smart Grids has emerged as a transformative approach to modernizing energy infrastructures and enhancing operational efficiency. This comprehensive review paper explores the advancements, challenges, and future perspectives of SDN implementation in Smart Grid environments. It delves into the applications of SDN in areas such as real-time monitoring, energy distribution optimization, grid resilience, integration of renewable energy sources, and demand response management. Additionally, the paper addresses key challenges including security concerns, interoperability issues, scalability constraints, and regulatory compliance requirements that accompany the adoption of SDN in Smart Grids. Looking ahead, the paper discusses future perspectives such as leveraging artificial intelligence, edge computing, and blockchain technology to further enhance the capabilities of SDN in Smart Grids. Through an in-depth analysis of current developments and future trends, this review provides valuable insights for researchers, practitioners, and policymakers seeking to harness the full potential of SDN for advancing Smart Grid infrastructures.  © 2013 IEEE.",Applications; cybersecurity; energy efficiency; grid resilience; smart grid; software-defined network; Electric power distribution; Energy efficiency; Interactive computer systems; Regulatory compliance; Renewable energy; Smart power grids; Software defined networking; Software reliability; Cyber security; Future perspectives; Grid resilience; Power systems reliability; Real - Time system; Resilience; Smart grid; Software-defined networkings; Software-defined networks; Real time systems,Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"Export Date: 27 September 2024; Cited By: 3; Correspondence Address: W. Velasquez; Escuela Superior Politécnica del Litoral, ESPOL, Faculty of Electrical and Computer Engineering, Guayaquil, 090902, Ecuador; email: wavelasq@espol.edu.ec",JOUR,,,,
,"Chen, F.; Wang, Z.; He, Y.",A Deep Neural Network-Based Optimal Scheduling Decision-Making Method for Microgrids,2023,Energies,16,,,10.3390/en16227635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177868082&doi=10.3390%2fen16227635&partnerID=40&md5=2a7e1667c0f7a5c0f38e399eddc0d520,"China Southern Power Grid Guizhou Power Grid Co., Ltd, Guiyang, 550003, China; School of Electrical Engineering, Guizhou University, Guiyang, 550025, China","With the rapid growth in the proportion of renewable energy access and the structural complexity of distributed energy systems, traditional microgrid (MG) scheduling methods that rely on mathematical optimization models and expert experience are facing significant challenges. Therefore, it is essential to present a novel scheduling technique with high intelligence and fast decision-making capacity to realize MGs’ automatic operation and regulation. This paper proposes an optimal scheduling decision-making method for MGs based on deep neural networks (DNN). Firstly, a typical mathematical scheduling model used for MG operation is introduced, and the limitations of current methods are analyzed. Then, a two-stage optimal scheduling framework comprising day-ahead and intra-day stages is presented. The day-ahead part is solved by mixed integer linear programming (MILP), and the intra-day part uses a convolutional neural network (CNN)—bidirectional long short-term memory (Bi LSTM) for high-speed rolling decision making, with the outputs adjusted by a power correction balance algorithm. Finally, the validity of the model and algorithm of this paper are verified by arithmetic case analysis. © 2023 by the authors.",artificial intelligence; convolutional neural network; deep bidirectional long-short memory neural network; microgrid; optimal dispatch; Convolution; Decision making; Deep neural networks; Electric load dispatching; Integer programming; Long short-term memory; Microgrids; Convolutional neural network; Decision-making method; Decisions makings; Deep bidirectional long-short memory neural network; Microgrid; Neural-networks; Optimal dispatch; Optimal scheduling; Scheduling decisions; Short memory; Convolutional neural networks,Multidisciplinary Digital Publishing Institute (MDPI),19961073 (ISSN),English,Energies,Article,Scopus,"Export Date: 27 September 2024; Cited By: 1; Correspondence Address: Y. He; School of Electrical Engineering, Guizhou University, Guiyang, 550025, China; email: heyu@gzu.edu.cn",JOUR,7635,22,,
